x, Bphi, vr, vz, rho, Omega, Psi, T, P, Bphi', vr', vz', rho', Omega', Psi', T', P'
        1.201000000000000E-001,       -1.149512332414670E-001,        1.002795996125944E+000,       -1.204146651814579E-001,        8.877568365159335E-001,        9.723930432663646E-001,        9.976047244650273E-001,        1.003202301958263E+000,        8.905997118617377E-001,       -8.690825624326691E-001,       -1.040467428774490E-001,       -9.900937448235666E-001,       -1.839221304775631E+000,       -4.699490810974001E-001,       -3.999991436254903E-002,        5.362665859711711E-002,       -1.797503613972496E+000
        1.301000000000000E-001,       -1.235259477182676E-001,        1.001413393445786E+000,       -1.302606425506338E-001,        8.686687143231919E-001,        9.674894950713280E-001,        9.971879209888888E-001,        1.003761370076410E+000,        8.719361090077952E-001,       -8.455180317143539E-001,       -1.752179730866890E-001,       -9.784023962410784E-001,       -1.977682086077880E+000,       -5.106793563087334E-001,       -4.336115531857820E-002,        5.818967812510670E-002,       -1.934573327413289E+000
        1.401000000000000E-001,       -1.318547516791338E-001,        9.992336798329292E-001,       -1.399671978828169E-001,        8.482186083864853E-001,        9.621817799402359E-001,        9.967374972090455E-001,        1.004366147148266E+000,        8.519220659863636E-001,       -8.199015764281158E-001,       -2.637852503423802E-001,       -9.620521604599319E-001,       -2.111487403640523E+000,       -5.507034243892879E-001,       -4.672361116436232E-002,        6.276814600928705E-002,       -2.067465358887530E+000
        1.501000000000000E-001,       -1.399171957597795E-001,        9.960734696133196E-001,       -1.494828793829414E-001,        8.264574338777704E-001,        9.564795237037469E-001,        9.962534530332732E-001,        1.005016777017168E+000,        8.306035970456308E-001,       -7.922509602162711E-001,       -3.716161511739999E-001,       -9.400573210968927E-001,       -2.239763467587125E+000,       -5.894903438261528E-001,       -5.008475931064130E-002,        6.735978335261851E-002,       -2.195329867779040E+000
        1.601000000000000E-001,       -1.476931308851433E-001,        9.917312680741305E-001,       -1.587459992211128E-001,        8.034449613997879E-001,        9.503982326278856E-001,        9.957358169986319E-001,        1.005713376105251E+000,        8.080353553142782E-001,       -7.626094225067359E-001,       -5.004510820985562E-001,       -9.113596901857312E-001,       -2.361579564925901E+000,       -6.263940839186805E-001,       -5.344138656929711E-002,        7.196136958690152E-002,       -2.317255157372774E+000
        1.701000000000000E-001,       -1.551629922682990E-001,        9.859896781041865E-001,       -1.676841032116701E-001,        7.792509102427139E-001,        9.439604787661353E-001,        9.951846535193967E-001,        1.006456023479328E+000,        7.842817832964897E-001,       -7.310515693919066E-001,       -6.517025445363005E-001,       -8.748713175727424E-001,       -2.475897045184393E+000,       -6.606471932940520E-001,       -5.678951972709442E-002,        7.656863742529726E-002,       -2.432215314230794E+000
        1.801000000000000E-001,       -1.623081422903771E-001,        9.786192395908416E-001,       -1.762138669787187E-001,        7.539559978825334E-001,        9.371970296985915E-001,        9.946000707979837E-001,        1.007244749898556E+000,        7.594182317323387E-001,       -6.976891677143385E-001,       -8.263289535009065E-001,       -8.295174502719915E-001,       -2.581546174361985E+000,       -6.913792193384343E-001,       -6.012436458386514E-002,        8.117617723018493E-002,       -2.539045565038939E+000
        1.901000000000000E-001,       -1.691112689952994E-001,        9.693842368450443E-001,       -1.842415964809634E-001,        7.276528982859538E-001,        9.301478196351831E-001,        9.939822292890582E-001,        1.008079525969860E+000,        7.335320006867377E-001,       -6.626763797816660E-001,       -1.024587965996968E+000,       -7.743119313163296E-001,       -2.677310954630430E+000,       -7.176333621807118E-001,       -6.344025976321839E-002,        8.577735775978160E-002,       -2.636526215036540E+000
        2.001000000000001E-001,       -1.755568316619895E-001,        9.580507232861607E-001,       -1.916645210217776E-001,        7.004470093705800E-001,        9.228626251134503E-001,        9.933313505075265E-001,        1.008960249669361E+000,        7.067232020951872E-001,       -6.262138067144623E-001,       -1.245831076925240E+000,       -7.084413656028219E-001,       -2.761889248409371E+000,       -7.384063062783887E-001,       -6.673065290374167E-002,        9.036427931238800E-002,       -2.723341076435951E+000
        2.101000000000001E-001,       -1.816315375810590E-001,        9.443968442382464E-001,       -1.983730498413367E-001,        6.724569232737968E-001,        9.154012952221438E-001,        9.926477259317938E-001,        1.009886733549831E+000,        6.791053393438909E-001,       -5.885506262341124E-001,       -1.488257038384865E+000,       -6.313725548847937E-001,       -2.833931346683352E+000,       -7.526987707144949E-001,       -6.998810746927078E-002,        9.492775671051308E-002,       -2.798114843595688E+000
