 x, Bphi, vr, vz, rho, Omega, Psi, T, P
 0.0000000E+00, 0.0000000E+00, 0.1000000E+01, 0.0000000E+00, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01
 0.1000000E-03, -.1000000E-03, 0.1000000E+01, -.9924900E-04, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01
 0.1010000E-01, -.1009808E-01, 0.9999679E+00, -.1002380E-01, 0.9995106E+00, 0.9999166E+00, 0.9999883E+00, 0.1000016E+01, 0.9995262E+00
 0.2010000E-01, -.2008443E-01, 0.9998729E+00, -.1994630E-01, 0.9980347E+00, 0.9996648E+00, 0.9999537E+00, 0.1000061E+01, 0.9980961E+00
 0.3010000E-01, -.3004735E-01, 0.9997082E+00, -.2986451E-01, 0.9955830E+00, 0.9992460E+00, 0.9998961E+00, 0.1000138E+01, 0.9957203E+00
 0.4010000E-01, -.3997515E-01, 0.9994639E+00, -.3977581E-01, 0.9921578E+00, 0.9986602E+00, 0.9998155E+00, 0.1000245E+01, 0.9924006E+00
 0.5010000E-01, -.4985606E-01, 0.9991259E+00, -.4967695E-01, 0.9877624E+00, 0.9979068E+00, 0.9997120E+00, 0.1000382E+01, 0.9881399E+00
 0.6010000E-01, -.5967825E-01, 0.9986761E+00, -.5956387E-01, 0.9824012E+00, 0.9969856E+00, 0.9995856E+00, 0.1000550E+01, 0.9829416E+00
 0.7010000E-01, -.6942979E-01, 0.9980919E+00, -.6943148E-01, 0.9760797E+00, 0.9958962E+00, 0.9994361E+00, 0.1000749E+01, 0.9768105E+00
 0.8010000E-01, -.7909866E-01, 0.9973462E+00, -.7927343E-01, 0.9688046E+00, 0.9946384E+00, 0.9992637E+00, 0.1000978E+01, 0.9697520E+00
 0.9010000E-01, -.8867273E-01, 0.9964074E+00, -.8908185E-01, 0.9605840E+00, 0.9932121E+00, 0.9990682E+00, 0.1001238E+01, 0.9617729E+00
 0.1001000E+00, -.9813974E-01, 0.9952391E+00, -.9884713E-01, 0.9514272E+00, 0.9916173E+00, 0.9988497E+00, 0.1001528E+01, 0.9528812E+00
 0.1101000E+00, -.1074873E+00, 0.9937997E+00, -.1085576E+00, 0.9413452E+00, 0.9898543E+00, 0.9986082E+00, 0.1001849E+01, 0.9430863E+00
 0.1201000E+00, -.1167031E+00, 0.9920430E+00, -.1181995E+00, 0.9303507E+00, 0.9879241E+00, 0.9983437E+00, 0.1002202E+01, 0.9323992E+00
 0.1301000E+00, -.1257744E+00, 0.9899171E+00, -.1277562E+00, 0.9184583E+00, 0.9858280E+00, 0.9980561E+00, 0.1002585E+01, 0.9208325E+00
 0.1401000E+00, -.1346888E+00, 0.9873652E+00, -.1372085E+00, 0.9056847E+00, 0.9835678E+00, 0.9977454E+00, 0.1002999E+01, 0.9084010E+00
 0.1501000E+00, -.1434336E+00, 0.9843252E+00, -.1465341E+00, 0.8920488E+00, 0.9811465E+00, 0.9974117E+00, 0.1003444E+01, 0.8951214E+00
 0.1601000E+00, -.1519963E+00, 0.9807301E+00, -.1557073E+00, 0.8775721E+00, 0.9785679E+00, 0.9970550E+00, 0.1003921E+01, 0.8810129E+00
 0.1701000E+00, -.1603643E+00, 0.9765081E+00, -.1646991E+00, 0.8622789E+00, 0.9758369E+00, 0.9966753E+00, 0.1004428E+01, 0.8660973E+00
 0.1801000E+00, -.1685253E+00, 0.9715831E+00, -.1734766E+00, 0.8461963E+00, 0.9729597E+00, 0.9962726E+00, 0.1004967E+01, 0.8503993E+00
 0.1901000E+00, -.1764672E+00, 0.9658756E+00, -.1820034E+00, 0.8293548E+00, 0.9699441E+00, 0.9958470E+00, 0.1005537E+01, 0.8339467E+00
 0.2001000E+00, -.1841784E+00, 0.9593035E+00, -.1902392E+00, 0.8117881E+00, 0.9667996E+00, 0.9953985E+00, 0.1006138E+01, 0.8167708E+00
 0.2101000E+00, -.1916475E+00, 0.9517835E+00, -.1981401E+00, 0.7935339E+00, 0.9635373E+00, 0.9949272E+00, 0.1006770E+01, 0.7989063E+00
 0.2201000E+00, -.1988639E+00, 0.9432324E+00, -.2056592E+00, 0.7746336E+00, 0.9601706E+00, 0.9944333E+00, 0.1007433E+01, 0.7803920E+00
 0.2301000E+00, -.2058176E+00, 0.9335689E+00, -.2127463E+00, 0.7551326E+00, 0.9567145E+00, 0.9939168E+00, 0.1008128E+01, 0.7612705E+00
 0.2401000E+00, -.2124994E+00, 0.9227164E+00, -.2193492E+00, 0.7350804E+00, 0.9531864E+00, 0.9933779E+00, 0.1008854E+01, 0.7415887E+00
 0.2501000E+00, -.2189013E+00, 0.9106047E+00, -.2254142E+00, 0.7145307E+00, 0.9496057E+00, 0.9928168E+00, 0.1009610E+01, 0.7213976E+00
 0.2601000E+00, -.2250163E+00, 0.8971733E+00, -.2308874E+00, 0.6935412E+00, 0.9459936E+00, 0.9922337E+00, 0.1010397E+01, 0.7007524E+00
 0.2701000E+00, -.2308389E+00, 0.8823738E+00, -.2357154E+00, 0.6721737E+00, 0.9423733E+00, 0.9916288E+00, 0.1011215E+01, 0.6797124E+00
 0.2801000E+00, -.2363649E+00, 0.8661731E+00, -.2398475E+00, 0.6504935E+00, 0.9387694E+00, 0.9910024E+00, 0.1012063E+01, 0.6583407E+00
 0.2901000E+00, -.2415917E+00, 0.8485562E+00, -.2432365E+00, 0.6285692E+00, 0.9352075E+00, 0.9903548E+00, 0.1012941E+01, 0.6367039E+00
 0.3001000E+00, -.2465184E+00, 0.8295284E+00, -.2458409E+00, 0.6064724E+00, 0.9317141E+00, 0.9896864E+00, 0.1013849E+01, 0.6148716E+00
 0.3101000E+00, -.2511458E+00, 0.8091174E+00, -.2476262E+00, 0.5842763E+00, 0.9283158E+00, 0.9889975E+00, 0.1014786E+01, 0.5929157E+00
 0.3201000E+00, -.2554766E+00, 0.7873747E+00, -.2485667E+00, 0.5620559E+00, 0.9250388E+00, 0.9882885E+00, 0.1015752E+01, 0.5709097E+00
 0.3301000E+00, -.2595151E+00, 0.7643760E+00, -.2486465E+00, 0.5398865E+00, 0.9219082E+00, 0.9875599E+00, 0.1016746E+01, 0.5489279E+00
 0.3401000E+00, -.2632673E+00, 0.7402208E+00, -.2478610E+00, 0.5178428E+00, 0.9189475E+00, 0.9868121E+00, 0.1017768E+01, 0.5270444E+00
 0.3501000E+00, -.2667412E+00, 0.7150310E+00, -.2462171E+00, 0.4959982E+00, 0.9161782E+00, 0.9860458E+00, 0.1018818E+01, 0.5053321E+00
 0.3601000E+00, -.2699457E+00, 0.6889483E+00, -.2437340E+00, 0.4744233E+00, 0.9136187E+00, 0.9852614E+00, 0.1019894E+01, 0.4838618E+00
 0.3701000E+00, -.2728917E+00, 0.6621309E+00, -.2404423E+00, 0.4531854E+00, 0.9112847E+00, 0.9844596E+00, 0.1020996E+01, 0.4627009E+00
 0.3801000E+00, -.2755907E+00, 0.6347494E+00, -.2363837E+00, 0.4323474E+00, 0.9091883E+00, 0.9836409E+00, 0.1022124E+01, 0.4419129E+00
 0.3901000E+00, -.2780555E+00, 0.6069826E+00, -.2316099E+00, 0.4119668E+00, 0.9073379E+00, 0.9828059E+00, 0.1023276E+01, 0.4215561E+00
